price_rounded,avg_revenue,avg_margin,count,rev_norm,mar_norm,score
10,276.0258333333333,28.49083333333333,12,0.0,0.0,0.0
20,434.27877314812497,50.90875,32,0.039243505183778,0.3397597817575589,0.159
30,362.5131987576087,58.97913043478261,46,0.021447104725707055,0.46207224887897064,0.198
40,508.19603651265305,59.38142857142857,49,0.0575734806737209,0.46816936883622073,0.222
50,1130.6790429256566,69.04353535353536,99,0.21193658519216935,0.6146056028725458,0.373
60,2031.5089751276191,67.75285714285714,21,0.43532405689059916,0.5950444387510239,0.499
70,1122.5959530545945,79.74432432432432,37,0.20993214357088122,0.7767838186009901,0.437
80,1479.9249708349207,77.57904761904763,63,0.29854246056080824,0.7439674801441961,0.477
90,951.9477422866175,76.36470588235295,68,0.1676148637041498,0.7255632506355748,0.391
100,1972.3446458307694,76.21038461538461,26,0.42065250850626607,0.7232243999401543,0.542
110,1235.6137789542856,76.28114285714287,35,0.23795826202242165,0.7242967923990432,0.432
120,1668.0755127916666,78.11166666666666,24,0.3451999620091324,0.7520397079996969,0.508
130,1363.17728562,77.71849999999999,20,0.2695914129828751,0.7460809820909848,0.46
140,2815.4822883703705,84.37185185185184,27,0.6297334676616836,0.8469173535858725,0.717
150,2190.212241852941,82.28411764705882,17,0.4746792339742387,0.8152762279480485,0.611
160,2614.8536946076924,88.46461538461539,13,0.5799816635653161,0.9089461524860247,0.712
170,1619.8979428866667,83.09200000000001,15,0.3332529061343955,0.8275202707822883,0.531
180,1667.32199996,84.99600000000001,5,0.3450131061772587,0.8563767713253684,0.55
200,4308.6151515833335,91.45833333333333,6,1.0,0.9543181186693274,0.982
320,3935.3888887111116,94.18333333333334,9,0.9074474900820824,0.9956174694991033,0.943
330,4170.8625,94.4725,8,0.9658401486707521,1.0,0.98
340,2554.4389473842107,93.2642105263158,19,0.5650000370083873,0.9816874969256479,0.732
